"subjectID","wave","task","nVols","percent"
NA,NA,NA,800,2.7
"TPOT002",1,"affect_acq-1",0,0
"TPOT002",1,"affect_acq-2",0,0
"TPOT002",1,"rest",0,0
"TPOT004",1,"affect_acq-1",0,0
"TPOT004",1,"affect_acq-2",0,0
"TPOT004",1,"rest",0,0
"TPOT005",1,"affect_acq-1",0,0
"TPOT005",1,"affect_acq-2",0,0
"TPOT005",1,"rest",0,0
"TPOT006",1,"affect_acq-1",3,1.6
"TPOT006",1,"affect_acq-2",0,0
"TPOT006",1,"rest",12,1.6
"TPOT007",1,"affect_acq-1",0,0
"TPOT007",1,"affect_acq-2",0,0
"TPOT008",1,"affect_acq-1",0,0
"TPOT008",1,"affect_acq-2",1,0.5
"TPOT008",1,"rest",0,0
"TPOT009",1,"affect_acq-1",0,0
"TPOT009",1,"affect_acq-2",0,0
"TPOT009",1,"rest",0,0
"TPOT010",1,"affect_acq-1",1,0.5
"TPOT010",1,"affect_acq-2",0,0
"TPOT010",1,"rest",0,0
"TPOT011",1,"affect_acq-1",1,0.5
"TPOT011",1,"affect_acq-2",3,1.6
"TPOT011",1,"rest",2,0.3
"TPOT013",1,"affect_acq-1",0,0
"TPOT013",1,"affect_acq-2",0,0
"TPOT013",1,"rest",0,0
"TPOT014",1,"affect_acq-1",3,1.6
"TPOT014",1,"affect_acq-2",0,0
"TPOT014",1,"rest",11,1.5
"TPOT015",1,"affect_acq-1",102,55.1
"TPOT015",1,"affect_acq-2",54,36.5
"TPOT015",1,"rest",103,13.7
"TPOT016",1,"affect_acq-1",2,1.1
"TPOT016",1,"affect_acq-2",4,2.2
"TPOT016",1,"rest",0,0
"TPOT017",1,"affect_acq-1",0,0
"TPOT017",1,"affect_acq-2",0,0
"TPOT017",1,"rest",0,0
"TPOT018",1,"affect_acq-1",2,1.1
"TPOT018",1,"affect_acq-2",13,7
"TPOT018",1,"rest",1,0.1
"TPOT019",1,"affect_acq-1",0,0
"TPOT019",1,"affect_acq-2",0,0
"TPOT019",1,"rest",0,0
"TPOT020",1,"affect_acq-1",3,1.6
"TPOT020",1,"affect_acq-2",2,1.1
"TPOT020",1,"rest",0,0
"TPOT021",1,"affect_acq-1",1,0.5
"TPOT021",1,"affect_acq-2",4,2.2
"TPOT021",1,"rest",0,0
"TPOT023",1,"affect_acq-1",0,0
"TPOT023",1,"affect_acq-2",1,0.5
"TPOT023",1,"rest",0,0
"TPOT024",1,"affect_acq-1",1,0.5
"TPOT024",1,"affect_acq-2",4,2.2
"TPOT024",1,"rest",0,0
"TPOT025",1,"affect_acq-1",0,0
"TPOT025",1,"affect_acq-2",6,3.2
"TPOT025",1,"rest",0,0
"TPOT026",1,"affect_acq-1",15,8.1
"TPOT026",1,"affect_acq-2",3,1.6
"TPOT026",1,"rest",0,0
"TPOT027",1,"affect_acq-1",0,0
"TPOT027",1,"affect_acq-2",0,0
"TPOT027",1,"rest",1,0.1
"TPOT028",1,"affect_acq-1",0,0
"TPOT028",1,"affect_acq-2",0,0
"TPOT028",1,"rest",0,0
"TPOT029",1,"affect_acq-1",26,14.1
"TPOT029",1,"affect_acq-2",8,4.3
"TPOT029",1,"rest",0,0
"TPOT030",1,"affect_acq-1",0,0
"TPOT030",1,"affect_acq-2",0,0
"TPOT030",1,"rest",0,0
"TPOT032",1,"affect_acq-1",0,0
"TPOT032",1,"affect_acq-2",0,0
"TPOT032",1,"rest",0,0
"TPOT033",1,"affect_acq-1",1,0.5
"TPOT033",1,"affect_acq-2",0,0
"TPOT033",1,"rest",0,0
"TPOT034",1,"affect_acq-1",0,0
"TPOT034",1,"affect_acq-2",0,0
"TPOT034",1,"rest",0,0
"TPOT035",1,"affect_acq-1",0,0
"TPOT035",1,"affect_acq-2",0,0
"TPOT035",1,"rest",0,0
"TPOT036",1,"affect_acq-1",3,1.6
"TPOT036",1,"affect_acq-2",0,0
"TPOT036",1,"rest",5,0.7
"TPOT037",1,"affect_acq-1",0,0
"TPOT037",1,"affect_acq-2",0,0
"TPOT037",1,"rest",0,0
"TPOT038",1,"affect_acq-1",0,0
"TPOT038",1,"affect_acq-2",0,0
"TPOT038",1,"rest",8,1.1
"TPOT039",1,"affect_acq-1",0,0
"TPOT039",1,"affect_acq-2",0,0
"TPOT039",1,"rest",0,0
"TPOT040",1,"affect_acq-1",30,16.2
"TPOT040",1,"affect_acq-2",12,6.5
"TPOT040",1,"rest",1,0.1
"TPOT041",1,"affect_acq-1",0,0
"TPOT041",1,"affect_acq-2",0,0
"TPOT041",1,"rest",0,0
"TPOT042",1,"affect_acq-1",0,0
"TPOT042",1,"affect_acq-2",0,0
"TPOT042",1,"rest",0,0
"TPOT043",1,"affect_acq-1",12,6.5
"TPOT043",1,"affect_acq-2",6,3.2
"TPOT043",1,"rest",4,0.5
"TPOT044",1,"affect_acq-1",0,0
"TPOT044",1,"affect_acq-2",0,0
"TPOT044",1,"rest",0,0
"TPOT045",1,"affect_acq-1",8,4.3
"TPOT045",1,"affect_acq-2",7,3.8
"TPOT045",1,"rest",79,10.5
"TPOT046",1,"affect_acq-1",1,0.5
"TPOT046",1,"affect_acq-2",3,1.6
"TPOT046",1,"rest",0,0
"TPOT048",1,"affect_acq-1",18,9.7
"TPOT048",1,"affect_acq-2",17,9.2
"TPOT049",1,"affect_acq-1",8,4.3
"TPOT049",1,"affect_acq-2",4,2.2
"TPOT049",1,"rest",11,1.5
"TPOT051",1,"affect_acq-1",6,3.2
"TPOT051",1,"affect_acq-2",7,3.8
"TPOT051",1,"rest",0,0
"TPOT052",1,"affect_acq-1",1,0.5
"TPOT052",1,"affect_acq-2",0,0
"TPOT052",1,"rest",0,0
"TPOT053",1,"affect_acq-1",5,2.7
"TPOT053",1,"affect_acq-2",3,1.6
"TPOT054",1,"affect_acq-1",0,0
"TPOT054",1,"affect_acq-2",0,0
"TPOT054",1,"rest",0,0
"TPOT055",1,"affect_acq-1",7,3.8
"TPOT055",1,"affect_acq-2",1,0.5
"TPOT055",1,"rest",3,0.4
"TPOT056",1,"affect_acq-1",0,0
"TPOT056",1,"affect_acq-2",0,0
"TPOT056",1,"rest",0,0
"TPOT057",1,"affect_acq-1",6,3.2
"TPOT057",1,"affect_acq-2",4,2.2
"TPOT057",1,"rest",0,0
"TPOT058",1,"affect_acq-1",1,0.5
"TPOT058",1,"affect_acq-2",15,8.1
"TPOT058",1,"rest",3,0.4
"TPOT059",1,"affect_acq-1",0,0
"TPOT059",1,"affect_acq-2",0,0
"TPOT059",1,"rest",0,0
"TPOT060",1,"affect_acq-1",0,0
"TPOT060",1,"affect_acq-2",0,0
"TPOT060",1,"rest",0,0
"TPOT062",1,"affect_acq-1",0,0
"TPOT062",1,"affect_acq-2",0,0
"TPOT062",1,"rest",0,0
"TPOT064",1,"affect_acq-1",0,0
"TPOT064",1,"affect_acq-2",0,0
"TPOT064",1,"rest",0,0
"TPOT067",1,"affect_acq-1",0,0
"TPOT067",1,"affect_acq-2",1,0.5
"TPOT067",1,"rest",0,0
"TPOT068",1,"affect_acq-1",0,0
"TPOT068",1,"affect_acq-2",0,0
"TPOT068",1,"rest",6,0.8
"TPOT070",1,"affect_acq-1",0,0
"TPOT070",1,"affect_acq-2",0,0
"TPOT070",1,"rest",0,0
"TPOT071",1,"affect_acq-1",3,1.6
"TPOT071",1,"affect_acq-2",12,6.5
"TPOT071",1,"rest",0,0
"TPOT072",1,"affect_acq-1",0,0
"TPOT072",1,"affect_acq-2",0,0
"TPOT072",1,"rest",0,0
"TPOT074",1,"affect_acq-1",0,0
"TPOT074",1,"affect_acq-2",0,0
"TPOT074",1,"rest",0,0
"TPOT075",1,"affect_acq-1",0,0
"TPOT075",1,"affect_acq-2",0,0
"TPOT075",1,"rest",0,0
"TPOT077",1,"affect_acq-1",0,0
"TPOT077",1,"affect_acq-2",0,0
"TPOT077",1,"rest",0,0
"TPOT078",1,"affect_acq-1",0,0
"TPOT078",1,"affect_acq-2",0,0
"TPOT078",1,"rest",0,0
"TPOT079",1,"affect_acq-1",1,0.5
"TPOT079",1,"affect_acq-2",1,0.5
"TPOT079",1,"rest",0,0
"TPOT080",1,"affect_acq-1",3,1.6
"TPOT080",1,"affect_acq-2",8,4.3
"TPOT080",1,"rest",0,0
"TPOT081",1,"affect_acq-1",0,0
"TPOT081",1,"affect_acq-2",1,0.5
"TPOT081",1,"rest",2,0.3
"TPOT083",1,"affect_acq-1",2,1.1
"TPOT083",1,"affect_acq-2",2,1.1
"TPOT083",1,"rest",0,0
"TPOT084",1,"affect_acq-1",0,0
"TPOT084",1,"affect_acq-2",0,0
"TPOT084",1,"rest",1,0.1
"TPOT085",1,"affect_acq-1",0,0
"TPOT085",1,"affect_acq-2",0,0
"TPOT085",1,"rest",0,0
"TPOT086",1,"affect_acq-1",0,0
"TPOT086",1,"affect_acq-2",0,0
"TPOT086",1,"rest",0,0
"TPOT090",1,"affect_acq-1",5,2.7
"TPOT090",1,"affect_acq-2",2,1.1
"TPOT090",1,"rest",0,0
"TPOT091",1,"affect_acq-1",0,0
"TPOT091",1,"affect_acq-2",0,0
"TPOT091",1,"rest",0,0
"TPOT092",1,"affect_acq-1",0,0
"TPOT092",1,"affect_acq-2",7,3.8
"TPOT092",1,"rest",0,0
"TPOT093",1,"affect_acq-1",24,13
"TPOT093",1,"affect_acq-2",18,9.7
"TPOT093",1,"rest",0,0
"TPOT094",1,"affect_acq-1",8,4.3
"TPOT094",1,"affect_acq-2",7,3.8
"TPOT094",1,"rest",0,0
"TPOT095",1,"affect_acq-1",0,0
"TPOT095",1,"affect_acq-2",0,0
"TPOT095",1,"rest",0,0
"TPOT096",1,"affect_acq-1",2,1.1
"TPOT096",1,"affect_acq-2",0,0
"TPOT096",1,"rest",0,0
"TPOT097",1,"affect_acq-1",0,0
"TPOT097",1,"affect_acq-2",0,0
"TPOT097",1,"rest",0,0
"TPOT099",1,"affect_acq-1",3,1.6
"TPOT099",1,"affect_acq-2",3,1.6
"TPOT099",1,"rest",0,0
"TPOT101",1,"affect_acq-1",1,0.5
"TPOT101",1,"affect_acq-2",1,0.5
"TPOT101",1,"rest",0,0
"TPOT102",1,"affect_acq-1",0,0
"TPOT102",1,"affect_acq-2",1,0.5
"TPOT102",1,"rest",0,0
"TPOT103",1,"affect_acq-1",11,5.9
"TPOT103",1,"affect_acq-2",8,4.3
"TPOT103",1,"rest",2,0.3
"TPOT104",1,"affect_acq-1",5,2.7
"TPOT104",1,"affect_acq-2",11,5.9
"TPOT104",1,"rest",4,0.5
"TPOT105",1,"affect_acq-1",0,0
"TPOT105",1,"affect_acq-2",0,0
"TPOT105",1,"rest",0,0
"TPOT106",1,"affect_acq-1",0,0
"TPOT106",1,"affect_acq-2",11,5.9
"TPOT106",1,"rest",0,0
"TPOT107",1,"affect_acq-1",0,0
"TPOT107",1,"affect_acq-2",0,0
"TPOT107",1,"rest",0,0
"TPOT108",1,"affect_acq-1",0,0
"TPOT108",1,"affect_acq-2",11,5.9
"TPOT108",1,"rest",0,0
"TPOT109",1,"affect_acq-1",0,0
"TPOT109",1,"affect_acq-2",0,0
"TPOT109",1,"rest",0,0
"TPOT110",1,"affect_acq-1",0,0
"TPOT110",1,"affect_acq-2",2,1.1
"TPOT110",1,"rest",0,0
"TPOT112",1,"affect_acq-1",1,0.5
"TPOT112",1,"affect_acq-2",0,0
"TPOT112",1,"rest",0,0
"TPOT113",1,"affect_acq-1",4,2.2
"TPOT113",1,"affect_acq-2",2,1.1
"TPOT113",1,"rest",0,0
"TPOT114",1,"affect_acq-1",0,0
"TPOT114",1,"affect_acq-2",0,0
"TPOT114",1,"rest",0,0
"TPOT115",1,"affect_acq-1",0,0
"TPOT115",1,"affect_acq-2",3,1.6
"TPOT115",1,"rest",0,0
"TPOT116",1,"affect_acq-1",0,0
"TPOT116",1,"affect_acq-2",0,0
"TPOT116",1,"rest",0,0
"TPOT117",1,"affect_acq-1",0,0
"TPOT117",1,"affect_acq-2",0,0
"TPOT117",1,"rest",0,0
"TPOT118",1,"affect_acq-1",2,1.1
"TPOT118",1,"affect_acq-2",3,1.6
"TPOT118",1,"rest",0,0
"TPOT119",1,"affect_acq-1",1,0.5
"TPOT119",1,"affect_acq-2",6,3.2
"TPOT119",1,"rest",0,0
"TPOT120",1,"affect_acq-1",107,57.8
"TPOT120",1,"rest",19,2.5
"TPOT124",1,"affect_acq-1",0,0
"TPOT124",1,"affect_acq-2",4,2.2
"TPOT124",1,"rest",0,0
"TPOT125",1,"affect_acq-1",4,2.2
"TPOT125",1,"affect_acq-2",0,0
"TPOT125",1,"rest",1,0.1
"TPOT126",1,"affect_acq-1",0,0
"TPOT126",1,"affect_acq-2",7,3.8
"TPOT126",1,"rest",0,0
"TPOT127",1,"affect_acq-1",4,2.2
"TPOT127",1,"affect_acq-2",15,8.1
"TPOT127",1,"rest",0,0
"TPOT129",1,"affect_acq-1",0,0
"TPOT129",1,"affect_acq-2",0,0
"TPOT129",1,"rest",0,0
"TPOT130",1,"affect_acq-1",0,0
"TPOT130",1,"affect_acq-2",0,0
"TPOT130",1,"rest",0,0
"TPOT131",1,"affect_acq-1",0,0
"TPOT131",1,"affect_acq-2",0,0
"TPOT131",1,"rest",0,0
"TPOT132",1,"affect_acq-2",0,0
"TPOT132",1,"rest",0,0
"TPOT133",1,"affect_acq-1",1,0.5
"TPOT133",1,"affect_acq-2",1,0.5
"TPOT133",1,"rest",0,0
"TPOT134",1,"affect_acq-1",0,0
"TPOT134",1,"affect_acq-2",0,0
"TPOT134",1,"rest",0,0
"TPOT135",1,"affect_acq-1",0,0
"TPOT135",1,"affect_acq-2",0,0
"TPOT135",1,"rest",0,0
"TPOT137",1,"affect_acq-1",0,0
"TPOT137",1,"affect_acq-2",1,0.5
"TPOT137",1,"rest",0,0
"TPOT138",1,"affect_acq-1",0,0
"TPOT138",1,"affect_acq-2",0,0
"TPOT138",1,"rest",0,0
"TPOT139",1,"affect_acq-1",0,0
"TPOT139",1,"affect_acq-2",0,0
"TPOT139",1,"rest",0,0
"TPOT140",1,"affect_acq-1",1,0.5
"TPOT140",1,"affect_acq-2",0,0
"TPOT140",1,"rest",0,0
"TPOT142",1,"affect_acq-1",1,0.5
"TPOT142",1,"affect_acq-2",0,0
"TPOT142",1,"rest",0,0
"TPOT143",1,"affect_acq-1",5,2.7
"TPOT143",1,"rest",27,3.6
"TPOT145",1,"rest",1,0.1
"TPOT146",1,"affect_acq-1",0,0
"TPOT146",1,"affect_acq-2",0,0
"TPOT146",1,"rest",0,0
"TPOT148",1,"affect_acq-1",0,0
"TPOT148",1,"affect_acq-2",0,0
"TPOT148",1,"rest",0,0
"TPOT149",1,"affect_acq-1",0,0
"TPOT149",1,"affect_acq-2",0,0
"TPOT149",1,"rest",0,0
"TPOT151",1,"affect_acq-1",0,0
"TPOT151",1,"affect_acq-2",0,0
"TPOT151",1,"rest",0,0
"TPOT152",1,"affect_acq-1",52,28.1
"TPOT152",1,"rest",344,45.9
"TPOT153",1,"affect_acq-1",4,2.2
"TPOT153",1,"affect_acq-2",0,0
"TPOT153",1,"rest",0,0
"TPOT154",1,"affect_acq-1",40,21.6
"TPOT154",1,"affect_acq-2",65,35.1
"TPOT154",1,"rest",0,0
"TPOT156",1,"affect_acq-1",1,0.5
"TPOT156",1,"affect_acq-2",9,4.9
"TPOT156",1,"rest",0,0
"TPOT158",1,"affect_acq-1",0,0
"TPOT158",1,"rest",0,0
"TPOT159",1,"affect_acq-1",0,0
"TPOT159",1,"affect_acq-2",0,0
"TPOT159",1,"rest",0,0
"TPOT160",1,"affect_acq-1",0,0
"TPOT160",1,"affect_acq-2",2,1.1
"TPOT160",1,"rest",0,0
"TPOT161",1,"affect_acq-1",0,0
"TPOT161",1,"affect_acq-2",0,0
"TPOT161",1,"rest",0,0
"TPOT162",1,"affect_acq-1",26,14.1
"TPOT162",1,"affect_acq-2",20,10.8
"TPOT162",1,"rest",2,0.3
"TPOT163",1,"affect_acq-1",2,1.1
"TPOT163",1,"affect_acq-2",5,2.7
"TPOT163",1,"rest",0,0
"TPOT165",1,"affect_acq-1",0,0
"TPOT165",1,"affect_acq-2",0,0
"TPOT165",1,"rest",0,0
"TPOT166",1,"affect_acq-1",1,0.5
"TPOT166",1,"affect_acq-2",0,0
"TPOT166",1,"rest",0,0
"TPOT167",1,"affect_acq-1",0,0
"TPOT167",1,"affect_acq-2",3,1.6
"TPOT167",1,"rest",1,0.1
"TPOT171",1,"affect_acq-1",0,0
"TPOT171",1,"affect_acq-2",0,0
"TPOT171",1,"rest",0,0
"TPOT172",1,"affect_acq-1",1,0.5
"TPOT172",1,"affect_acq-2",2,1.1
"TPOT172",1,"rest",1,0.1
"TPOT174",1,"affect_acq-1",0,0
"TPOT174",1,"affect_acq-2",3,1.6
"TPOT174",1,"rest",0,0
"TPOT176",1,"affect_acq-1",9,4.9
"TPOT176",1,"affect_acq-2",5,2.7
"TPOT176",1,"rest",5,0.7
"TPOT177",1,"affect_acq-1",6,3.2
"TPOT177",1,"affect_acq-2",10,5.4
"TPOT177",1,"rest",2,0.3
"TPOT179",1,"affect_acq-1",0,0
"TPOT179",1,"affect_acq-2",4,2.2
"TPOT179",1,"rest",0,0
"TPOT181",1,"affect_acq-1",7,3.8
"TPOT181",1,"affect_acq-2",4,2.2
"TPOT181",1,"rest",2,0.3
"TPOT182",1,"affect_acq-1",0,0
"TPOT182",1,"affect_acq-2",0,0
"TPOT201",1,"affect_acq-1",26,14.1
"TPOT201",1,"affect_acq-2",14,7.6
"TPOT201",1,"rest",0,0
"TPOT202",1,"affect_acq-1",0,0
"TPOT202",1,"affect_acq-2",0,0
"TPOT202",1,"rest",0,0
